tweet_text,prediction
RT @mystery0725: Last interview...in #SalmanKhan's  own words....he mentioned about the movies he's doing... Bharat--&gt; Kick2--&gt; SLB--&gt; Tige…,0.0
Watch lesbian movie: https://t.co/BDNgRk6mdL Summer Brielle slides the pool boys cock into her https://t.co/W0eRhEPLVE,2.0
"Hey, Writing Twitter, quick question: should I name one of my characters something close to its mythological inspiration (like Low Key Lyesmith) and potentially give away the movie or name them something different and hide the twist as long as I can?",4.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"Enjoy Toy Story 3 2010 Full Movie, Click Link!!!  WATCH NOW ► https://t.co/bhA5os2evA",2.0
Autism friendly movie allows children with autism to see summer blockbuster https://t.co/a1aH5x2DxB,2.0
@JereShea is included in this week's Shaun Berk's 10 Movie Recommendations at https://t.co/tDuvThHQRO,2.0
Our top 10 Hawaiian style movies. What are your favorite Hawaiian style movies? #honuastudios #hawaii #filmmaking #top10 https://t.co/OxFo6D2Gzr,4.0
Full Metal Jacket https://t.co/qM5s3pa5og,2.0
The look I give when someone asks me to pick a movie from the Netflix queue.  .. .. Via IG @bronco.the.dobie #doberman #dogsofinstagram #dogs #dogsofsanfrancisco #sanfrancisco #sf #dobie #dobermanpinscher https://t.co/P0ylwy26xi,2.0
If you ever need to find the largest person in a movie theater just look in front of me... #everytime,4.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @bodysouls: @RealOmarNavarro @RepMaxineWaters What Maxine is calling for is nothing less than Domestic Terrorism.  Saying Trump supporte…,0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
BAD ROMANCE – NOLLYWOOD LATEST MOVIE https://t.co/iB8K7hUv2R https://t.co/RXxPJpBEEB,2.0
"RT @QueenHalloweenW: \"Wanna see something really scary?\" Twilight Zone: The Movie was released 35 years ago today. #horror https://t.co/2G0…",2.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
RT @thorcgnarok: as long as the new poster is better than this... then fuck it. the movie can be titled “spider-man: on route to london” an…,0.0
idk if i wanna workout or go get in my bed and watch movies,4.0
I saw you in every movie that I watched 🙊,2.0
"Checking out the new theater. Quite the experience! Though doubt it’ll be the regular go to as it’s easy to spend more than you should.   Great movie, but original was still slightly better.",0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
Big butt african celeb gay porn xxx His red-hot urine runs down his  https://t.co/q1QnrO9IeK   gay sexy video in nairobi twinks musturbation gujaratigaysex com www freegaypornofilm gay fetishezzo gay solo vid free gay pissing 3gp porn movies,4.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @YogiBabu_offl: This is not movie  Took a picture with real labours https://t.co/X6fAGDSwEx,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
Family Time is the Best Time. Afternoon movies with this crew. #Mom #Carter #SisNLaw #FutureNieceNephew (inside My Sissy) #familyfuntime ms.baggie malyssahjackson https://t.co/kw3oZwD5fX,0.0
While watching the incredibles 2 I was so confused because I thought they learned about jack jack’s powers at the end of the first movie. 😂,2.0
RT @TheSopranoQuote: Ralph- “I have come...to reclaim Rome...for my people.”  Georgie- “Hows it goin?”  Ralph- “I HAVE COME...TO RECLAIM RO…,4.0
