tweet_text,prediction
This movie reminds me of y’all @Itu_SeRei and @ForEv3r_AnGie 😩🙌🏽 https://t.co/rbJlOOdXuB,2.0
Escape plan 2 awesome movie,2.0
"RT @PKsbpdl: When you understand \"Apocalypto\" is Mel Gibson's best movie, you'll understand the reality of European supremacy and the power…",4.0
"RT @Lexual__: The star of the movie, James Baskett, wasn't allowed to attend the premiere of the movie in Atlanta https://t.co/ZM2ZGKEk3y",2.0
"RT @BrianLynch: The Muppet Movie, The Jerk, Star Wars, Tootsie, 9 to 5, Beetlejuice, Wayne’s World, Planes Trains and Automobiles, Back to…",4.0
RT @UdehMadu: I created a video that put together scenes from 80+ black movies from the 70's to now into one story. I hope to one day work…,4.0
RT @H4LL0WEEN_: ⚠️Spoiler Alert⚠️  Leaked page from the Halloween 2018 movie. 🎃🔪 https://t.co/hT6tYbKga7,2.0
RT @Ann91237283: I won't pick a favorite movie starring @brennan_elliott. He is a 5⭐ actor worthy of any award. It's rare 2c an actor who s…,2.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
RT @empyreall: yall only nasty on twitter. half of you niggas will sit through a subpar netflix movie for damn near two hours just cuddling…,2.0
RT @ThomasAKellar: Still think @AwaitFI is the movie to beat this weekend for me at @cinepocalypse,4.0
My favorite part of the movie 😭😂 https://t.co/PQWw16Hx3a,2.0
I’m Zooey Deschanel in the movie Failure to Launch.,2.0
Going to a movie at 7:15,2.0
RT @notgirlnotboyy: OK my question why kyung soo skin somewhat dark ah so hyun too on my television... I'm cried non stop because bumsil lo…,0.0
RT @USAHotLips: Sandra takes issue with location not the harassment that took place. Typical.   Comprehension is pesky Sandra. https://t.co…,0.0
